london_avg,global_avg,year
10.25,8.72,1750
9.99,7.98,1751
6.54,5.78,1752
9.42,8.39,1753
9.20,8.47,1754
8.95,8.36,1755
9.42,8.85,1756
9.34,9.02,1757
8.85,6.74,1758
9.80,7.99,1759
9.26,7.19,1760
9.69,8.77,1761
8.99,8.61,1762
8.75,7.50,1763
9.14,8.40,1764
8.95,8.25,1765
9.07,8.41,1766
8.98,8.22,1767
9.12,6.78,1768
9.04,7.69,1769
9.03,7.69,1770
8.78,7.85,1771
9.36,8.19,1772
9.33,8.22,1773
9.10,8.77,1774
10.10,9.18,1775
9.21,8.30,1776
9.25,8.26,1777
9.80,8.54,1778
10.76,8.98,1779
9.67,9.43,1780
10.41,8.10,1781
8.44,7.90,1782
9.97,7.68,1783
8.29,7.86,1784
8.54,7.36,1785
8.35,8.26,1786
9.53,8.03,1787
9.39,8.45,1788
9.12,8.33,1789
9.67,7.98,1790
9.59,8.23,1791
9.56,8.09,1792
9.59,8.23,1793
10.00,8.53,1794
9.19,8.35,1795
9.50,8.27,1796
9.62,8.51,1797
9.83,8.67,1798
7.94,8.51,1799
9.32,8.48,1800
9.68,8.59,1801
9.31,8.58,1802
8.79,8.50,1803
9.37,8.84,1804
8.56,8.56,1805
9.87,8.43,1806
9.03,8.28,1807
8.91,7.63,1808
8.99,7.08,1809
8.97,6.92,1810
10.10,6.86,1811
8.58,7.05,1812
9.13,7.74,1813
7.93,7.59,1814
8.99,7.24,1815
7.98,6.94,1816
8.95,6.98,1817
9.88,7.83,1818
9.58,7.37,1819
8.61,7.62,1820
9.63,8.09,1821
10.36,8.19,1822
8.80,7.72,1823
9.65,8.55,1824
9.98,8.39,1825
10.12,8.36,1826
9.37,8.81,1827
10.10,8.17,1828
7.95,7.94,1829
8.78,8.52,1830
10.01,7.64,1831
9.24,7.45,1832
9.40,8.01,1833
10.59,8.15,1834
9.48,7.39,1835
9.04,7.70,1836
8.85,7.38,1837
8.05,7.51,1838
8.89,7.63,1839
8.68,7.80,1840
9.12,7.69,1841
9.43,8.02,1842
9.40,8.17,1843
8.85,7.65,1844
8.46,7.85,1845
10.48,8.55,1846
9.24,8.09,1847
9.52,7.98,1848
9.42,7.98,1849
9.06,7.90,1850
9.17,8.18,1851
9.96,8.10,1852
8.44,8.04,1853
9.30,8.21,1854
8.03,8.11,1855
9.17,8.00,1856
10.21,7.76,1857
9.20,8.10,1858
9.97,8.25,1859
8.17,7.96,1860
9.42,7.85,1861
9.56,7.56,1862
9.90,8.11,1863
8.74,7.98,1864
9.82,8.18,1865
9.69,8.29,1866
9.06,8.44,1867
10.50,8.25,1868
9.46,8.43,1869
8.94,8.20,1870
8.97,8.12,1871
10.07,8.19,1872
9.26,8.35,1873
9.37,8.43,1874
9.43,7.86,1875
9.75,8.08,1876
9.43,8.54,1877
9.47,8.83,1878
7.62,8.17,1879
9.35,8.12,1880
8.71,8.27,1881
9.43,8.13,1882
9.21,7.98,1883
9.86,7.77,1884
8.68,7.92,1885
8.80,7.95,1886
8.39,7.91,1887
8.31,8.09,1888
8.91,8.32,1889
8.86,7.97,1890
8.65,8.02,1891
8.35,8.07,1892
10.05,8.06,1893
9.42,8.16,1894
8.91,8.15,1895
9.41,8.21,1896
9.50,8.29,1897
10.08,8.18,1898
9.85,8.40,1899
9.73,8.50,1900
9.20,8.54,1901
8.95,8.30,1902
9.45,8.22,1903
9.18,8.09,1904
9.25,8.23,1905
9.62,8.38,1906
9.03,7.95,1907
9.31,8.19,1908
8.70,8.18,1909
9.39,8.22,1910
10.22,8.18,1911
9.57,8.17,1912
9.89,8.30,1913
9.98,8.59,1914
9.07,8.59,1915
9.28,8.23,1916
8.65,8.02,1917
9.60,8.13,1918
8.48,8.38,1919
9.67,8.36,1920
10.60,8.57,1921
8.81,8.41,1922
9.17,8.42,1923
9.34,8.51,1924
9.31,8.53,1925
9.83,8.73,1926
9.25,8.52,1927
9.69,8.63,1928
9.09,8.24,1929
9.70,8.63,1930
9.12,8.72,1931
9.57,8.71,1932
9.96,8.34,1933
10.11,8.63,1934
9.90,8.52,1935
9.43,8.55,1936
9.69,8.70,1937
10.18,8.86,1938
9.77,8.76,1939
9.06,8.76,1940
9.09,8.77,1941
9.10,8.73,1942
10.19,8.76,1943
9.62,8.85,1944
10.39,8.58,1945
9.58,8.68,1946
9.75,8.80,1947
10.16,8.75,1948
10.63,8.59,1949
9.75,8.37,1950
9.52,8.63,1951
9.35,8.64,1952
9.95,8.87,1953
9.35,8.56,1954
9.39,8.63,1955
8.87,8.28,1956
10.26,8.73,1957
9.66,8.77,1958
10.63,8.73,1959
9.88,8.58,1960
10.20,8.80,1961
8.65,8.75,1962
8.48,8.86,1963
9.53,8.41,1964
9.03,8.53,1965
9.59,8.60,1966
9.81,8.70,1967
9.48,8.52,1968
9.47,8.60,1969
9.69,8.70,1970
9.89,8.60,1971
9.41,8.50,1972
9.75,8.95,1973
9.70,8.47,1974
9.99,8.74,1975
10.28,8.35,1976
9.69,8.85,1977
9.41,8.69,1978
9.06,8.73,1979
9.54,8.98,1980
9.38,9.17,1981
10.07,8.64,1982
10.12,9.03,1983
9.75,8.69,1984
9.00,8.66,1985
8.94,8.83,1986
9.22,8.99,1987
9.82,9.20,1988
10.76,8.92,1989
10.94,9.23,1990
9.67,9.18,1991
10.15,8.84,1992
9.69,8.87,1993
10.48,9.04,1994
10.55,9.35,1995
9.27,9.04,1996
10.64,9.20,1997
10.40,9.52,1998
10.86,9.29,1999
10.52,9.20,2000
10.18,9.41,2001
10.91,9.57,2002
10.81,9.53,2003
10.77,9.32,2004
10.63,9.70,2005
11.10,9.53,2006
10.83,9.73,2007
10.38,9.43,2008
10.52,9.51,2009
9.38,9.70,2010
11.19,9.52,2011
10.00,9.51,2012
9.91,9.61,2013
